"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N911DE","1981",10257,1025702,30257,"ALB","Albany, NY","NY","36","New York",22,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0605","0600",-5.00,0.00,0.00,-1,"0600-0659",11.00,"0611","0812",5.00,"0834","0817",-17.00,0.00,0.00,-2,"0800-0859",0.00,"",0.00,149.00,137.00,121.00,1.00,853.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N960DN","1982",12953,1295302,31703,"LGA","New York, NY","NY","36","New York",22,13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida",33,"1550","1653",63.00,63.00,1.00,4,"1500-1559",64.00,"1757","2022",5.00,"1907","2027",80.00,80.00,1.00,5,"1900-1959",0.00,"",0.00,197.00,214.00,145.00,1.00,1096.00,5,15.00,0.00,17.00,0.00,48.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N780NC","1983",10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,"1505","1511",6.00,6.00,0.00,0,"1500-1559",19.00,"1530","1606",5.00,"1622","1611",-11.00,0.00,0.00,-1,"1600-1659",0.00,"",0.00,77.00,60.00,36.00,1.00,214.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N780NC","1983",14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1700","1659",-1.00,0.00,0.00,-1,"1700-1759",15.00,"1714","1754",12.00,"1813","1806",-7.00,0.00,0.00,-1,"1800-1859",0.00,"",0.00,73.00,67.00,40.00,1.00,214.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","D942DN","1984",10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0605","0557",-8.00,0.00,0.00,-1,"0600-0659",15.00,"0612","0853",15.00,"0918","0908",-10.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,133.00,131.00,101.00,1.00,813.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N942DL","1985",11267,1126702,31267,"DAY","Dayton, OH","OH","39","Ohio",44,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0700","0655",-5.00,0.00,0.00,-1,"0700-0759",21.00,"0716","0829",6.00,"0842","0835",-7.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,102.00,100.00,73.00,1.00,432.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N660DL","1986",10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,12953,1295302,31703,"LGA","New York, NY","NY","36","New York",22,"1140","1158",18.00,18.00,1.00,1,"1100-1159",19.00,"1217","1400",9.00,"1400","1409",9.00,9.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,131.00,103.00,1.00,762.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N914DE","1987",13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,15016,1501603,31123,"STL","St. Louis, MO","MO","29","Missouri",64,"1500","1455",-5.00,0.00,0.00,-1,"1500-1559",17.00,"1512","1615",8.00,"1633","1623",-10.00,0.00,0.00,-1,"1600-1659",0.00,"",0.00,93.00,88.00,63.00,1.00,448.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N642DL","1988",11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,14771,1477101,32457,"SFO","San Francisco, CA","CA","06","California",91,"1945","1945",0.00,0.00,0.00,0,"1900-1959",23.00,"2008","2141",7.00,"2159","2148",-11.00,0.00,0.00,-1,"2100-2159",0.00,"",0.00,314.00,303.00,273.00,1.00,2079.00,9,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N642DL","1988",14771,1477101,32457,"SFO","San Francisco, CA","CA","06","California",91,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"2315","2317",2.00,2.00,0.00,0,"2300-2359",14.00,"2331","0633",8.00,"0653","0641",-12.00,0.00,0.00,-1,"0600-0659",0.00,"",0.00,278.00,264.00,242.00,1.00,2079.00,9,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N309US","1989",11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina",36,"1956","1956",0.00,0.00,0.00,0,"1900-1959",15.00,"2011","2130",7.00,"2149","2137",-12.00,0.00,0.00,-1,"2100-2159",0.00,"",0.00,113.00,101.00,79.00,1.00,500.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N770NC","1990",10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,"0939","0935",-4.00,0.00,0.00,-1,"0900-0959",22.00,"0957","1036",5.00,"1049","1041",-8.00,0.00,0.00,-1,"1000-1059",0.00,"",0.00,70.00,66.00,39.00,1.00,214.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N770NC","1990",14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1130","1126",-4.00,0.00,0.00,-1,"1100-1159",14.00,"1140","1219",4.00,"1239","1223",-16.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,69.00,57.00,39.00,1.00,214.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
